    ,title                                                            ,,Production company                                                                                                                                                                               ,Release date                                                                                                                                                  ,Running time                                                                                                                                                                          ,Country                                                      ,Language                                                     ,Running time (int) ,Budget (float) ,Box office (float)   ,Release date (datetime) ,imdb ,metascore ,rotten_tomatoes ,Directed by                                                                                                                                                                                                 ,Produced by                                                                                                                                                                                                                                                                                                                                                        ,Written by                                                                                                                                                                                                                                                                                   ,Based on                                                                                                                                                                                                    ,Starring                                                                                                                                                                                                                                                                                                                             ,Music by                                                                                                                                                                                                                                    ,Distributed by                                                                                                                              ,Budget                                                    ,Box office                                                                                                                          
57,Pirates of the Caribbean: Dead Man's Chest                       ,,                                                                                                                                                                                                 ,"['June 24, 2006 ( Disneyland Resort )', 'July 7, 2006 (United States)']                                                                                     ",151 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,151,225000000,1066000000,6/24/2006,7.3,53,53%,Gore Verbinski                                                                                                                                                                                              ,Jerry Bruckheimer                                                                                                                                                                                                                                                                                                                                                  ,"['Ted Elliott', 'Terry Rossio']                                                                                                                                                                                                                                                            ","['Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']                          ","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']                                                                                                                                                                                     ",Hans Zimmer                                                                                                                                                                                                                                 ,Buena Vista Pictures                                                                                                                        ,$225 million                                              ,$1.066 billion                                                                                                                      
58,Invincible                                                       ,,Walt Disney Pictures                                                                                                                                                                             ,"['August 25, 2006']                                                                                                                                         ",104 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,104,30000000,58500000,8/25/2006,7.1,63,72%,Ericson Core                                                                                                                                                                                                ,"['Gordon Gray', 'Mark Ciardi']                                                                                                                                                                                                                                                                                                                                   ",Brad Gann                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                            ,"['Mark Wahlberg', 'Greg Kinnear', 'Elizabeth Banks', 'Michael Rispoli']                                                                                                                                                                                                                                                            ",Mark Isham                                                                                                                                                                                                                                  ,Buena Vista Pictures                                                                                                                        ,$30 million                                               ,$58.5 million                                                                                                                       
59,The Nightmare Before Christmas                                   ,,"['Touchstone Pictures', 'Skellington Productions']                                                                                                                                             ","['October 29, 1993']                                                                                                                                        ",76 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,76,18000000,89100000,10/29/1993,8,82,95%,Henry Selick                                                                                                                                                                                                ,"['Tim Burton', 'Denise Di Novi']                                                                                                                                                                                                                                                                                                                                 ",                                                                                                                                                                                                                                                                                             ,"['Characters', 'by Tim Burton']                                                                                                                                                                           ","['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey', 'Glenn Shadix', 'Paul Reubens', 'Ken Page', 'Ed Ivory']                                                                                                                                                                                                 ",Danny Elfman                                                                                                                                                                                                                                ,Buena Vista Pictures Distribution                                                                                                           ,$18 million                                               ,$89.1 million                                                                                                                       
60,The Santa Clause 3: The Escape Clause                            ,,"['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']                                                                                                                             ","['November 3, 2006']                                                                                                                                        ",92 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,92,12000000,110800000,11/3/2006,4.7,32,17%,Michael Lembeck                                                                                                                                                                                             ,"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']                                                                                                                                                                                                                                                                                                             ","['Ed Decter', 'John J. Strauss']                                                                                                                                                                                                                                                           ","['Characters created', 'by', 'Leo Benvenuti', 'Steve Rudnick', 'Karey Kirkpatrick']                                                                                                                       ","['Tim Allen', 'Elizabeth Mitchell', 'Judge Reinhold', 'Wendy Crewson', 'Ann-Margret', 'Eric Lloyd', 'Spencer Breslin', 'Liliana Mumy', 'Alan Arkin', 'Martin Short']                                                                                                                                                               ",George S. Clinton                                                                                                                                                                                                                           ,Buena Vista Pictures                                                                                                                        ,$12 million                                               ,$110.8 million                                                                                                                      
61,Bridge to Terabithia                                             ,,                                                                                                                                                                                                 ,"['February 16, 2007']                                                                                                                                       ",95 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,95,20000000,138000000,2/16/2007,7.1,74,85%,Gábor Csupó                                                                                                                                                                                                 ,"['David L. Paterson', 'Lauren Levine', 'Hal Lieberman']                                                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                             ,"['Bridge to Terabithia', 'by', 'Katherine Paterson']                                                                                                                                                      ","['Josh Hutcherson', 'AnnaSophia Robb', 'Robert Patrick', 'Zooey Deschanel']                                                                                                                                                                                                                                                        ",Aaron Zigman                                                                                                                                                                                                                                ,"['Buena Vista Pictures Distribution', '(United States)', 'Summit Entertainment', '(International)']                                       ",$20–25 million                                            ,$138 million                                                                                                                        
62,Meet the Robinsons                                               ,,"['Walt Disney Pictures', 'Walt Disney Animation Studios']                                                                                                                                      ","['March 23, 2007 (US)', 'March 30, 2007 (UK)']                                                                                                              ",94 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,94,               ,169300000,3/23/2007,6.8,61,67%,Stephen Anderson                                                                                                                                                                                            ,['Dorothy McKim']                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                             ,"['A Day with Wilbur Robinson', 'by', 'William Joyce']                                                                                                                                                     ","['Jordan Fry', 'Wesley Singerman', 'Harland Williams', 'Tom Kenny', 'Steve Anderson', 'Angela Bassett', 'Laurie Metcalf', 'Adam West', 'Tom Selleck', 'Nicole Sullivan']                                                                                                                                                           ",Danny Elfman                                                                                                                                                                                                                                ,Buena Vista Pictures Distribution                                                                                                           ,                                                          ,$169.3 million                                                                                                                      
63,Pirates of the Caribbean: At World's End                         ,,                                                                                                                                                                                                 ,"['May 19, 2007 ( Disneyland Resort )', 'May 25, 2007 (United States)']                                                                                      ",168 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,168,300000000,961000000,5/19/2007,7.1,50,44%,Gore Verbinski                                                                                                                                                                                              ,Jerry Bruckheimer                                                                                                                                                                                                                                                                                                                                                  ,"['Ted Elliott', 'Terry Rossio']                                                                                                                                                                                                                                                            ","['Characters by Ted Elliott Terry Rossio Stuart Beattie Jay Wolpert', 'Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert', 'Pirates of the Caribbean by Walt Disney']                          ","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Chow Yun-fat', 'Geoffrey Rush', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']                                                                                                                                                    ",Hans Zimmer                                                                                                                                                                                                                                 ,Buena Vista Pictures                                                                                                                        ,$300 million                                              ,$961 million                                                                                                                        
64,Ratatouille                                                      ,,"['Walt Disney Pictures', 'Pixar Animation Studios']                                                                                                                                            ","['June 22, 2007 ( Kodak Theatre )', 'June 29, 2007 (United States)']                                                                                        ",111 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,111,150000000,620700000,6/22/2007,8,96,96%,Brad Bird                                                                                                                                                                                                   ,Brad Lewis                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Janeane Garofalo', 'Brad Garrett', ""Peter O'Toole"", 'Brian Dennehy', 'Peter Sohn', 'Will Arnett']                                                                                                                                                                                   ",Michael Giacchino                                                                                                                                                                                                                           ,Buena Vista Pictures Distribution                                                                                                           ,$150 million                                              ,$620.7 million                                                                                                                      
65,Underdog                                                         ,,                                                                                                                                                                                                 ,"['August 3, 2007']                                                                                                                                          ",82 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,82,25000000,65300000,8/3/2007,4.7,37,14%,Frederik Du Chau                                                                                                                                                                                            ,"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Jay Polstein']                                                                                                                                                                                                                                                                                           ","['Joe Piscatella', 'Adam Rifkin', 'Craig A. Williams']                                                                                                                                                                                                                                     ",['W. Watts Biggers']                                                                                                                                                                                        ,"['Jim Belushi', 'Peter Dinklage', 'John Slattery', 'Patrick Warburton', 'Brad Garrett', 'Amy Adams', 'Jason Lee']                                                                                                                                                                                                                  ",Randy Edelman                                                                                                                                                                                                                               ,Buena Vista Pictures Distribution                                                                                                           ,$25 million                                               ,$65.3 million                                                                                                                       
66,The Pixar Story                                                  ,,Leslie Iwerks Productions                                                                                                                                                                        ,"['August 28, 2007']                                                                                                                                         ",87 minutes                                                                                                                                                                            ,                                                             ,English                                                      ,87,               ,                     ,8/28/2007,7.8,N/A       ,86%,Leslie Iwerks                                                                                                                                                                                               ,Leslie Iwerks                                                                                                                                                                                                                                                                                                                                                      ,Leslie Iwerks                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                     ,Jeff Beal                                                                                                                                                                                                                                   ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",                                                          ,                                                                                                                                    
67,The Game Plan                                                    ,,"['Walt Disney Pictures', 'Mayhem Pictures']                                                                                                                                                    ","['September 23, 2007 ( Hollywood )', 'September 28, 2007 (United States)']                                                                                  ",110 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,110,22000000,146600000,9/23/2007,6.1,44,28%,Andy Fickman                                                                                                                                                                                                ,"['Mark Ciardi', 'Gordon Gray']                                                                                                                                                                                                                                                                                                                                   ",                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Dwayne ""The Rock"" Johnson', 'Madison Pettis', 'Kyra Sedgwick', 'Morris Chestnut', 'Roselyn Sanchez']                                                                                                                                                                                                                           ",Nathan Wang                                                                                                                                                                                                                                 ,Buena Vista Pictures                                                                                                                        ,$22 million                                               ,$146.6 million                                                                                                                      
68,Enchanted                                                        ,,                                                                                                                                                                                                 ,"['October 20, 2007 ( London )', 'November 21, 2007 (United States)']                                                                                        ",107 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,107,85000000,340500000,10/20/2007,7,75,93%,Kevin Lima                                                                                                                                                                                                  ,"['Barry Josephson', 'Barry Sonnenfeld']                                                                                                                                                                                                                                                                                                                          ",Bill Kelly                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                            ,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel', 'Susan Sarandon']                                                                                                                                                                                                                               ",Alan Menken                                                                                                                                                                                                                                 ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$85 million                                               ,$340.5 million                                                                                                                      
69,National Treasure: Book of Secrets                               ,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']                                                                                                  ","['December 21, 2007']                                                                                                                                       ",124 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,124,130000000,459200000,12/21/2007,6.5,48,36%,Jon Turteltaub                                                                                                                                                                                              ,"['Jerry Bruckheimer', 'Jon Turteltaub']                                                                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                             ,"['Characters', 'by', 'Jim Kouf', 'Oren Aviv', 'Charles Segars']                                                                                                                                           ","['Nicolas Cage', 'Jon Voight', 'Harvey Keitel', 'Ed Harris', 'Diane Kruger', 'Justin Bartha', 'Bruce Greenwood', 'Helen Mirren']                                                                                                                                                                                                   ",Trevor Rabin                                                                                                                                                                                                                                ,Walt Disney Studios Motion Pictures                                                                                                         ,$130 million                                              ,$459.2 million                                                                                                                      
70,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert      ,,"['Walt Disney Pictures', 'PACE', 'Disney Channel Original Productions']                                                                                                                        ",1-Feb-08,74 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,74,7000000,70600000,2/1/2008,2.4,59,71%,Bruce Hendricks                                                                                                                                                                                             ,Art Repola                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Miley Cyrus', 'Jonas Brothers', 'Kenny Ortega', 'Billy Ray Cyrus']                                                                                                                                                                                                                                                               ","['Matthew Gerrard', 'Robbie Nevil', 'Miley Cyrus', 'Jamie Houston', 'Tim James']                                                                                                                                                          ","['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$7 million                                                ,$70.6 million                                                                                                                       
71,College Road Trip                                                ,,"['Walt Disney Pictures', 'Gunn Films', 'Head Gear Films']                                                                                                                                      ","['March 7, 2008']                                                                                                                                           ",83 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,83,25000000,51500000,3/7/2008,4.3,36,12%,Roger Kumble                                                                                                                                                                                                ,Andrew Gunn                                                                                                                                                                                                                                                                                                                                                        ,"['Emi Mochizuki', 'Carrie Evans', 'Cinco Paul', 'Ken Daurio']                                                                                                                                                                                                                              ",                                                                                                                                                                                                            ,"['Raven-Symoné', 'Martin Lawrence', 'Donny Osmond']                                                                                                                                                                                                                                                                                ",Edward Shearmur                                                                                                                                                                                                                             ,"['Walt Disney Studios', 'Motion Pictures']                                                                                                ",$25 million                                               ,$51.5 million                                                                                                                       
72,The Chronicles of Narnia: Prince Caspian                         ,,"['Walt Disney Pictures', 'Walden Media']                                                                                                                                                       ","['May 7, 2008 ( New York City )', 'May 16, 2008 (United States)', 'June 26, 2008 (United Kingdom)']                                                         ",150 minutes                                                                                                                                                                           ,"['United Kingdom', 'United States']                        ",English                                                      ,150,225000000,419700000,5/7/2008,6.5,62,67%,Andrew Adamson                                                                                                                                                                                              ,"['Mark Johnson', 'Andrew Adamson', 'Philip Steuer']                                                                                                                                                                                                                                                                                                              ",                                                                                                                                                                                                                                                                                             ,"['Prince Caspian', 'by', 'C. S. Lewis']                                                                                                                                                                   ","['Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell']                                                                                                                                                                                                                                                         ",Harry Gregson-Williams                                                                                                                                                                                                                      ,Walt Disney Studios Motion Pictures                                                                                                         ,$225 million                                              ,$419.7 million                                                                                                                      
73,WALL-E                                                           ,,"['Walt Disney Pictures', 'Pixar Animation Studios']                                                                                                                                            ","['June 23, 2008 ( Los Angeles )', 'June 27, 2008 (United States)']                                                                                          ",97 minutes                                                                                                                                                                            ,United States                                                ,                                                             ,97,180000000, 533299999.99999994  ,6/23/2008,8.4,95,95%,Andrew Stanton                                                                                                                                                                                              ,Jim Morris                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']                                                                                                                                                                                                             ",Thomas Newman                                                                                                                                                                                                                               ,Walt Disney Studios Motion Pictures                                                                                                         ,$180 million                                              ,$533.3 million                                                                                                                      
